rowfrom,rowto,time1,time2,timediff,isrest,orientation
1,13,10782.4007,10802.7365,20.335800000000745,moving,z
14,217,10804.246,11119.888,315.64200000000164,resting,z
218,658,11122.4405,12115.3608,992.9202999999998,moving,z
659,1530,12117.4672,13828.6141,1711.1469000000016,resting,z
1531,1695,13830.7212,14220.6928,389.97160000000076,moving,z
1696,3272,14222.8144,17756.5163,3533.7019,resting,z
3273,3863,17758.6066,19085.377,1326.7704000000012,moving,z
3864,5052,19087.461,21726.1919,2638.7309000000023,resting,z
5053,5070,21728.2917,21765.8373,37.54559999999765,moving,z
5071,5073,21767.9442,21772.3003,4.356099999997241,resting,z
5074,5112,21774.4335,21919.7237,145.29019999999946,moving,z
5113,5172,21921.9079,22046.5163,124.60840000000098,resting,z
5173,5341,22048.6085,22403.0935,354.4850000000006,moving,z
5342,6264,22405.1975,24492.3026,2087.1051000000007,resting,z
6265,6272,24494.4014,24509.0679,14.66649999999936,moving,z
6273,6277,24511.164,24519.6502,8.486199999999371,resting,z
6278,6448,24521.8461,24880.7186,358.8725000000013,moving,z
6449,7270,24882.8271,26749.1625,1866.3354,resting,z
7271,7295,26751.266,26801.8939,50.6278999999995,moving,z
7296,7685,26803.9982,27626.2342,822.2359999999971,resting,z
7686,7741,27628.3269,27810.867,182.54009999999835,moving,z
7742,16705,27813.0616,47024.3939,19211.332300000002,resting,z
16706,17085,47026.4942,47893.257,866.7627999999968,moving,z
17086,20710,47895.3451,55995.9542,8100.6091000000015,resting,z
20711,37519,56000.1175,91188.3503,35188.232800000005,resting,z
